2021,match_rt,phaseout_rt,phaseout_start,takeup_rt,leakage,roi,2022,2023,2024,2025,2026,2027,2028,2029,2030,Total
-31.58410238332129,0.03,0.03,0.5,0.7,0.4,0.05,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-31.58410238332129,0.03,0.03,0.5,0.7,0.4,0.07,-32.28372764422851,-33.06142319917822,-33.80371299761377,-34.510768448646,-35.23724011070068,-35.96015903006006,-36.762925205243654,-37.67966175124463,-38.64413296270996,-349.5278537329467
-38.48542919772754,0.03,0.03,0.5,0.85,0.0,0.03,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.0,0.05,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.0,0.07,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.1,0.03,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.1,0.05,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.1,0.07,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.2,0.03,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.2,0.05,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.2,0.07,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.3,0.03,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.3,0.05,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.3,0.07,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.4,0.03,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.4,0.05,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-38.48542919772754,0.03,0.03,0.5,0.85,0.4,0.07,-39.33891722791748,-40.29168848089063,-41.20261523478662,-42.06372719828711,-42.95100038496484,-43.842590879672365,-44.82958297093262,-45.94416034875635,-47.11553979064746,-426.065251714583
-45.35967664757129,0.03,0.03,0.5,1.0,0.0,0.03,-46.35868134503125,-47.48554796026563,-48.56278924857568,-49.58315042066699,-50.62581553436426,-51.67131934246826,-52.83845027019043,-54.14797408684082,-55.53765658839404,-502.17106144436866
-45.35967664757129,0.03,0.03,0.5,1.0,0.0,0.05,-46.35868134503125,-47.48554796026563,-48.56278924857568,-49.58315042066699,-50.62581553436426,-51.67131934246826,-52.83845027019043,-54.14797408684082,-55.53765658839404,-502.17106144436866
-45.35967664757129,0.03,0.03,0.5,1.0,0.0,0.07,-46.35868134503125,-47.48554796026563,-48.56278924857568,-49.58315042066699,-50.62581553436426,-51.67131934246826,-52.83845027019043,-54.14797408684082,-55.53765658839404,-502.17106144436866
-45.35967664757129,0.03,0.03,0.5,1.0,0.1,0.03,-46.35868134503125,-47.48554796026563,-48.56278924857568,-49.58315042066699,-50.62581553436426,-51.67131934246826,-52.83845027019043,-54.14797408684082,-55.53765658839404,-502.17106144436866
